2024-04-23 13:59:15 startup archives install
2024-04-23 13:59:15 install base-passwd:arm64 <none> 3.6.3build1
2024-04-23 13:59:15 status half-installed base-passwd:arm64 3.6.3build1
2024-04-23 13:59:15 status unpacked base-passwd:arm64 3.6.3build1
2024-04-23 13:59:15 configure base-passwd:arm64 3.6.3build1 3.6.3build1
2024-04-23 13:59:15 status half-configured base-passwd:arm64 3.6.3build1
2024-04-23 13:59:15 status installed base-passwd:arm64 3.6.3build1
2024-04-23 13:59:15 startup archives install
2024-04-23 13:59:15 install base-files:arm64 <none> 13ubuntu10
2024-04-23 13:59:15 status half-installed base-files:arm64 13ubuntu10
2024-04-23 13:59:15 status unpacked base-files:arm64 13ubuntu10
2024-04-23 13:59:15 configure base-files:arm64 13ubuntu10 13ubuntu10
2024-04-23 13:59:15 status half-configured base-files:arm64 13ubuntu10
2024-04-23 13:59:15 status installed base-files:arm64 13ubuntu10
2024-04-23 13:59:15 startup archives install
2024-04-23 13:59:15 upgrade dpkg 1.22.6ubuntu6 1.22.6ubuntu6
2024-04-23 13:59:15 status half-configured dpkg 1.22.6ubuntu6
2024-04-23 13:59:15 status unpacked dpkg 1.22.6ubuntu6
2024-04-23 13:59:15 status half-installed dpkg 1.22.6ubuntu6
2024-04-23 13:59:15 status unpacked dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:15 configure dpkg:arm64 1.22.6ubuntu6 1.22.6ubuntu6
2024-04-23 13:59:15 status half-configured dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:16 status installed dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:16 startup archives install
2024-04-23 13:59:16 install libc6:arm64 <none> 2.39-0ubuntu8
2024-04-23 13:59:16 status half-installed libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:16 status unpacked libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:16 configure libc6:arm64 2.39-0ubuntu8 2.39-0ubuntu8
2024-04-23 13:59:16 status half-configured libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:16 status installed libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:16 startup archives install
2024-04-23 13:59:16 install perl-base:arm64 <none> 5.38.2-3.2build2
2024-04-23 13:59:16 status half-installed perl-base:arm64 5.38.2-3.2build2
2024-04-23 13:59:16 status unpacked perl-base:arm64 5.38.2-3.2build2
2024-04-23 13:59:16 configure perl-base:arm64 5.38.2-3.2build2 5.38.2-3.2build2
2024-04-23 13:59:16 status half-configured perl-base:arm64 5.38.2-3.2build2
2024-04-23 13:59:16 status installed perl-base:arm64 5.38.2-3.2build2
2024-04-23 13:59:16 startup archives install
2024-04-23 13:59:16 install mawk:arm64 <none> 1.3.4.20240123-1build1
2024-04-23 13:59:16 status half-installed mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:16 status unpacked mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:16 configure mawk:arm64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2024-04-23 13:59:16 status half-configured mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:16 status installed mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:16 startup archives unpack
2024-04-23 13:59:16 upgrade base-files:arm64 13ubuntu10 13ubuntu10
2024-04-23 13:59:16 status half-configured base-files:arm64 13ubuntu10
2024-04-23 13:59:16 status unpacked base-files:arm64 13ubuntu10
2024-04-23 13:59:16 status half-installed base-files:arm64 13ubuntu10
2024-04-23 13:59:16 status unpacked base-files:arm64 13ubuntu10
2024-04-23 13:59:16 upgrade base-passwd:arm64 3.6.3build1 3.6.3build1
2024-04-23 13:59:16 status half-configured base-passwd:arm64 3.6.3build1
2024-04-23 13:59:16 status unpacked base-passwd:arm64 3.6.3build1
2024-04-23 13:59:16 status half-installed base-passwd:arm64 3.6.3build1
2024-04-23 13:59:16 status unpacked base-passwd:arm64 3.6.3build1
2024-04-23 13:59:16 install bash:arm64 <none> 5.2.21-2ubuntu4
2024-04-23 13:59:16 status half-installed bash:arm64 5.2.21-2ubuntu4
2024-04-23 13:59:16 status unpacked bash:arm64 5.2.21-2ubuntu4
2024-04-23 13:59:16 install bsdutils:arm64 <none> 1:2.39.3-9ubuntu6
2024-04-23 13:59:16 status half-installed bsdutils:arm64 1:2.39.3-9ubuntu6
2024-04-23 13:59:16 status unpacked bsdutils:arm64 1:2.39.3-9ubuntu6
2024-04-23 13:59:16 install coreutils:arm64 <none> 9.4-3ubuntu6
2024-04-23 13:59:16 status half-installed coreutils:arm64 9.4-3ubuntu6
2024-04-23 13:59:16 status unpacked coreutils:arm64 9.4-3ubuntu6
2024-04-23 13:59:17 install dash:arm64 <none> 0.5.12-6ubuntu5
2024-04-23 13:59:17 status half-installed dash:arm64 0.5.12-6ubuntu5
2024-04-23 13:59:17 status unpacked dash:arm64 0.5.12-6ubuntu5
2024-04-23 13:59:17 install debconf:all <none> 1.5.86ubuntu1
2024-04-23 13:59:17 status half-installed debconf:all 1.5.86ubuntu1
2024-04-23 13:59:17 status unpacked debconf:all 1.5.86ubuntu1
2024-04-23 13:59:17 install debianutils:arm64 <none> 5.17build1
2024-04-23 13:59:17 status half-installed debianutils:arm64 5.17build1
2024-04-23 13:59:17 status unpacked debianutils:arm64 5.17build1
2024-04-23 13:59:17 install diffutils:arm64 <none> 1:3.10-1build1
2024-04-23 13:59:17 status half-installed diffutils:arm64 1:3.10-1build1
2024-04-23 13:59:17 status unpacked diffutils:arm64 1:3.10-1build1
2024-04-23 13:59:17 upgrade dpkg:arm64 1.22.6ubuntu6 1.22.6ubuntu6
2024-04-23 13:59:17 status half-configured dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:17 status unpacked dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:17 status half-installed dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:17 status unpacked dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:17 install e2fsprogs:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:17 status half-installed e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:17 status unpacked e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:17 install findutils:arm64 <none> 4.9.0-5build1
2024-04-23 13:59:17 status half-installed findutils:arm64 4.9.0-5build1
2024-04-23 13:59:17 status unpacked findutils:arm64 4.9.0-5build1
2024-04-23 13:59:17 install gcc-14-base:arm64 <none> 14-20240412-0ubuntu1
